Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=e396ea9b7f6446795d77fcb5910e432c&SERIES_KEY=42.FM.B.IT.USD.DS.SC.ITGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.IT.USD.DS.SC.ITGVTS5.HST
,"ITALY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2022-06-24,133.1710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-23,129.2570000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-22,122.4820000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-21,121.3480000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-20,125.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-17,129.4020000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-16,136.5530000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-15,149.4090000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-14,164.1220000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-13,148.8850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-10,143.1510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-09,136.2910000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-08,129.9700000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-07,127.8040000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-06,128.9340000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-03,127.2580000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-02,127.2580000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-01,127.2580000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-31,128.7490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-30,123.6680000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-27,123.9090000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-26,125.5660000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-25,131.2280000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-24,132.8080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-23,130.9970000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-20,133.7480000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-19,128.7610000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-18,124.8180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-17,122.9390000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-16,124.1280000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-13,124.3040000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-12,123.2050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-11,125.7400000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-10,128.9710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-09,133.1300000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-06,128.6390000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-05,123.5170000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-04,123.6950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-03,119.1000000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-05-02,117.1790000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-29,117.1790000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-28,112.9280000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-27,109.7440000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-26,108.5410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-25,105.3050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-22,103.8710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-21,100.5020000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-20,100.9950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-19,99.6850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-18,99.6490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-15,99.6490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-14,99.6490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-13,98.4700000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-12,97.6650000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-11,98.9170000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-08,105.9870000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-07,102.9750000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-06,102.9750000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-05,101.3850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-04,96.3070000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-04-01,94.6100000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-31,92.1070000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-30,91.0720000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-29,90.9840000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-28,93.9940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-25,92.9830000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-24,95.2970000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-23,96.3110000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-22,96.5170000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-21,96.3460000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-18,88.8120000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-17,89.5250000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-16,89.9980000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-15,97.1510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-14,98.8950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-11,98.3670000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-10,101.9670000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-09,93.4240000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-08,98.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-07,107.3610000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-04,101.7070000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-03,95.8740000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-02,96.0130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-03-01,94.4280000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-28,98.0590000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-25,94.7350000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-24,101.5790000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-23,101.1440000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-22,99.9590000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-21,102.4200000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-18,100.2570000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-17,97.5510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-16,100.3370000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-15,102.8470000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-14,105.3870000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-11,103.2800000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-10,101.0520000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-09,97.9470000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-08,100.1080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-07,103.4200000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-04,96.6850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-03,90.0800000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-02,86.3730000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-02-01,85.6960000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-31,85.4110000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-28,92.3080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-27,91.2440000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-26,95.3300000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-25,93.7710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-24,93.9560000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-21,92.6220000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-20,90.9850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-19,91.1410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-18,89.5940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-17,88.8780000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-14,89.3080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-13,89.1080000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-12,89.7930000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-11,90.2140000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-10,89.7750000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-07,90.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-06,89.3450000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-05,89.3390000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-04,89.1140000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-01-03,91.7010000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-31,91.7010000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-30,90.8910000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-29,93.5850000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-28,90.5780000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-27,90.5780000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-24,90.5780000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-23,90.0770000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-22,89.3320000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-21,89.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-20,88.3350000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-17,87.3370000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-16,87.7530000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-15,85.4310000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-14,87.7570000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-13,87.5050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-10,89.1100000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-09,91.6560000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-08,90.8550000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-07,85.5840000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-06,85.6270000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-03,87.7200000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-02,89.0420000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-12-01,90.6850000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-30,89.5890000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-29,88.8350000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-26,89.3770000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-25,88.3920000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-24,87.7810000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-23,86.1830000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-22,86.0520000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-19,86.0820000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-18,83.3520000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-17,83.0740000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-16,83.7940000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-15,83.4400000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-12,83.4180000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-11,80.2100000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-10,78.5180000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-09,76.3330000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-08,76.6220000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-05,77.9950000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-04,77.2910000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-03,79.4260000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-02,81.5490000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-11-01,86.2540000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-29,83.4310000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-28,76.3760000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-27,72.3220000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-26,72.1940000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-25,72.1000000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-22,72.8050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-21,72.3720000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-20,72.1770000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-19,72.5840000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-18,72.6410000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-15,72.3120000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-14,72.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-13,72.8520000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-12,72.9790000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-11,73.2840000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-08,73.4470000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-07,73.2050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-06,75.1790000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-05,73.9800000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-04,73.9480000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-10-01,73.6930000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-30,73.5980000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-29,73.4450000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-28,73.9450000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-27,72.8180000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-24,72.8060000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-23,72.5050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-22,73.6010000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-21,75.4900000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-20,76.6970000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-17,69.2220000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-16,69.1250000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-15,69.4200000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-14,69.7130000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-13,70.9980000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-10,71.4820000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-09,72.6310000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-08,73.5300000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-07,73.2680000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-06,72.8070000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-03,72.9730000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-02,73.3950000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-09-01,73.7690000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-31,74.0140000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-30,73.1710000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-27,73.1270000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-26,73.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-25,73.2150000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-24,71.3570000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-23,72.7410000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-20,72.2900000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-19,72.3100000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-18,71.6550000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-17,72.2940000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-16,72.4940000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-13,71.1150000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-12,71.5030000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-11,72.7000000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-10,71.6920000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-09,71.4930000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-06,71.7730000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-05,71.9570000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-04,73.2540000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-03,72.7380000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-08-02,72.8310000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-30,73.1880000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-29,73.2560000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-28,73.3840000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-27,73.5290000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-26,73.1360000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-23,73.2970000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-22,74.3490000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-21,75.5690000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-20,75.4480000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-19,75.0640000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-16,72.2680000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-15,72.7780000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-14,72.4230000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-13,72.8050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-12,73.6990000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-09,73.1520000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-08,74.7440000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-07,72.7000000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-06,72.1940000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-05,72.8590000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-02,71.8840000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-07-01,71.8850000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-30,73.6900000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-29,75.8120000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-28,75.9290000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-25,76.1440000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-24,76.9500000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-23,77.3860000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-22,77.3470000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-21,77.9960000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-18,79.4480000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-17,77.1320000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-16,75.2540000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-15,75.4900000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-14,76.1420000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-11,76.4090000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-10,77.1160000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-09,77.6660000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-08,79.3160000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-07,78.5940000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-04,78.3420000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-03,78.5420000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-02,78.5520000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-06-01,78.1430000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-31,80.6610000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-28,80.6610000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-27,80.3020000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-26,82.6650000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-25,83.1860000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-24,84.7970000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-21,84.0970000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-20,84.7020000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-19,88.5400000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-18,87.9210000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-17,87.4360000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-14,85.4540000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-13,84.9800000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-12,84.5290000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-11,85.7050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-10,85.1080000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-07,87.1850000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-06,85.2510000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-05,83.7590000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-04,83.4020000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-05-03,82.9340000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-30,82.9340000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-29,82.9040000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-28,83.9100000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-27,84.5140000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-26,82.8690000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-23,80.8520000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-22,80.3140000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-21,80.9670000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-20,83.4750000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-19,82.7450000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-16,82.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-15,81.7420000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-14,81.9860000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-13,80.3590000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-12,78.4090000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-09,78.1180000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-08,75.8510000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-07,77.4790000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-06,76.9360000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-05,73.9200000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-02,73.9200000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-04-01,73.9200000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-31,74.9620000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-30,75.7920000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-29,76.0450000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-26,76.7530000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-25,76.4480000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-24,74.0050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-23,73.4230000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-22,76.3640000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-19,70.3910000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-18,71.3040000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-17,73.0630000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-16,70.4960000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-15,69.3820000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-12,68.7920000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-11,69.3900000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-10,70.9430000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-09,71.4300000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-08,72.3170000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-05,73.0590000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-04,74.0470000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-03,74.0340000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-02,73.7130000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-03-01,72.9300000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-26,74.2980000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-25,73.4290000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-24,72.6190000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-23,72.2300000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-22,72.3470000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-19,73.0310000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-18,77.5820000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-17,73.7860000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-16,70.2380000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-15,71.8930000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-12,74.3970000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-11,75.7260000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-10,78.7510000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-09,79.4430000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-08,79.0810000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-05,83.0570000,Normal value (A),Not for publication, restricted for internal use only (N),
